tr	ota
livaül-hamd	لواء الحمد
sansürcü	سانسورجي
mincere	منجره
sürçtürmek	سورچديرمك
efek	افك
simay	سيم آي
şehabeddin	شهاب الدين
müjdelenme	مژده لنمه
mekne	مكنه
bed-çeşm	بد چشم
tuzlu	طوزلي
şeks	شكس
irade-i şahane	ارادۀ شاهانه
niyy	ني
nesic	نسيج
yağlı boya	ياغلي بويه
arif	عارف
harharyas	خارخارياس
şın	شين
füru-nihade	فرو نهاده
imrar-ı evkat	امرار اوقات
mütecenni	متجني
üsve	اسوه
melahat	ملاحت
gökabad	گوك آباد
şiff	شف
hüsnükuruntu	حسن قورونتي
horuldama	خورولدامه 
enbuy	انبوي
pekiner	پكين أر
saik	سائق
efakil	افاكل
azmettirmek	عزم ايتديرمك
tahzir	تحظير
gardıropçu	غارديروپجي
veliyy	ولي
haliyen	خاليًا
hüsn-i idare	حسن اداره
çivitlenmek	چيويتلنمك
bastırma	باصديرمه 
ihtilas	اختلاس
rukad	رقاد
takattub	تقطب
mahkuk	محكوك
ilbasla	ايلبصله
tevasuk	تواثق
mıhbasa	مخبصه
azeri	آذري
otokrasi	اوطوقراسي
nimzinde	نيم زنده
salepçilik	سالپجيلك
bende-i halka be-guş	بندۀ حلقه بگوش
burç	بورچ
fazla olmak	فضله اولمق
nüfusçu	نفوسجي
uluhiyet	الوهيت
merdüm-har	مردمخوار
faks	فقس
kulis yapmak	قوليس ياپمق
çeşn	چشن
tercim	ترجيم
brezava	برزاوه
küreyvat-ı beyza	كريوات بيضا
gayret etmek	غيرت ايتمك
ıyad	عياد
santuri	سانطوري
kusara	قصارا 
yelken	يلكن
esb-taz	اسب تاز
mahşud	محشود
kara kaş	قره قاش
nizamen	نظامًا
peşiman	پشيمان
dübba	دبا
gavga	غوغا
inkıyaden	انقيادًا
sustalı çakı	صوسته لي چاقي
sadizm	ساديزم
tükürük bezleri	توكوروك بزلري
istihkak-ı hars	استحقاق حرث
çıkrıkçın	چيقريقچين
çok kocalılık	چوق قوجه ليلق
tirokalsitonin	تيروقالسيتونين
ülgener	أولگن أر
müberkaa	مبرقعه
sermed	سرمد
frenlenme	فرنلنمه
ars	عرس
puma	پومه
ölmüş	أولمش
hassa	خاصه
ıtriyatçı	عطرياتجي
imamlık	اماملق
keseliler	كيسه ليلر
ülkücü	أولكوجي
dilme	ديلمه
yıldızlı	ييلديزلي
atyeş	اطيش
reh-yat	رهيات
mürde	مرده
übud	ابود
naşir	ناشر
muhtezin	محتزن
uzunköprü	اوزون كوپرو
loça	لوچه
valihane	والهانه
itidalli	اعتداللي
tumar	طومار
izansızlık	اذعانسزلق
ebza	ابزا 
tırmanmak	طيرمانمق
çay şekeri	چاي شكري
kıtlaşma	قيطلاشمه 
bahriyyun	بحريون
ümit dünyası	اميد دنياسي
kellik	كللك
tayr	طير
özbaşak	أوز باشاق
yazıt bilimi	يازيت بيليمي
sünnetleme	سنتله مه
menuf	مأنوف
evcümend	اوجمند
avrupalılık	آوروپه ليلق
kudüs	قدس
küçük kan dolaşımı	كوچك قان طولاشيمي
alem-şümul	عالم شمول
sümük doku	سوموك طوقو
fark-ı tam	فرق تام
tikçe	دكجه
sığar	صغار
hecmetüş-şita	هجمة الشتا
binilmek	بينيلمك
harıldama	خاريلدامه 
uram	عرام
merşuş	مرشوش
mütenessik	متنسك
kasırga	قاصيرغه
elta	الطع
tampon devlet	طامپون دولت
yumuşak damak	يوموشاق طاماق
heman	همان
santim	سانتيم
savunulmak	صاوونولمق
paravan	پاراوان
kazakça	قزاقجه
cüfal	جفال
muhibbi	محبي
neşur	نشور
lücme	لجمه
terkib-i mezci	تركيب مزجي
ikmal-i nüsah	اكمال نسخ
muhassan	محصن
deklare etmek	دكلاره ايتمك
butan	بوطان
besbes	بسبس
patates peronosporası	پاتاتس پرونوسپوره سي
gurbetçilik	غربتجيلك
hasus	حسوس
gasase	غثاثه
insancı	انسانجي
bakışımlı	باقيشيملي
mızıklanmak	ميزيقلانمق
fersah	فرسخ
lügub	لغوب
güşayende	گشاينده
bel-i lokma	بلع لقمه
derma	درما
anise	آنسه
hifaf	حفاف
cüddet	جدت
çiftlemek	چفتله مك
mihriye	مهريه
celib	جليب
paşaçadırı	پاشا چاديري
rububiyet	ربوبيت
ianeten	اعانتًا
segedik	سگديك
çiviletmek	چيويلتمك
adid	عديد
haberi	خبري
kumaş mengenesi	قماش منگه نه سي
ağaçkakan	آغاچ قاقان
tekebbüd	تكبد
gerekme	گركمه
umud	عمود
mesed	مسد
kurutma kabı	قوروتمه قابي
alımcı	آليمجي
koşullandırmak	قوشوللانديرمق
üçüncülük	أوچنجيلك
çimdiklemek	چيمديكله مك
kurulu	قورولي
beyugani	بيوگاني
gusale	غساله
sezinmek	سزينمك
maharetli	مهارتلي
escal	اسجال
marj	مارژ
zül	ذل
kubkuba	قبقبه
hurkus	خرقوص
şafi	شافي
gerk	گرك
mütebahtır	متبختر
girniye	گرينيه
generallik	گنه راللك
mimlaka	مملقه
tatarruk	تطرق
efsar	افسار
eşlenik	اشلنيك
baskül	باسكول
berbat etmek	برباد ايتمك
ganem	غنم
yunan	يونان
sofiyane	صوفيانه
muhaha	مخاخه
lüsub	لسوب
hass	حص
vırt zırt	ويرد زيرد
ribh	ربح
tırm	طرم
dazara dazır	طازره طازير
yalancı meyve	يالانجي ميوه
nükas	نكاس
litam	لطام
ferhunde	فرخنده
husuf	خسوف
yılışkanlık	ييليشقانلق
resed	رثد
eklemsiz	اكلمسز
ser-rişte	سررشته
tavş	طوش
kurşun erimi	قورشون اريمي
hiyel	حيل
sürme mantarları	سورمه مانطارلري
mevzilenme	موضعلنمه
çetin	چتين
zalum	ظلوم
tamme	طامه
boşaltma havzası	بوشالتمه حوضه سي
buzul dönemi	بوزول دونمي
kerkes	كركس
sarsakça	صارصاقجه
mirdiyan	مرديان
timurtaş	تيمور طاش
şuregil	شوره گيل
megaton	مغه طون
asıfe	عاصفه
perda	پردا
yancı	يانجي
nargil	نارگيل
adlandırmak	آدلانديرمق
francala	فرانجاله
urkub	عرقوب
mahlub	محلوب
grafik	غرافيك
edib-i bi-müdani	اديب بي مداني
dondurulmuş	طوڭديرولمش
sızıltısız	صيزيلتيسز
derecat-ı kurbiye	درجات قربيه
ilçe	ايلچه
dürr-i dırahşan	در درخشان
akif	عاكف
mukamir	مقامر
takdir	تقدير
ımya	عميا
esbat	اسبات
bekke	بكه
edilmek	ايديلمك
heyr	هير
tökezlemek	توكزله مك
ehl-i hadaret	اهل خضارت
yağdanlık	ياغدانلق
vehs	وهص
tarafsızlaştırmak	طرفسزلاشديرمق
ira	اعرا
şivan	شوان
tevekkün	توكن
sirke	سيركه
reh-nüma	رهنما
mermuk	مرموق
müfrid	مفرد
mevud	موعود
iletken	ايلتكن
iber	عبر
istibdad	استبداد
baskıcılık	باصقيجيلق
yafta	يافته
menbel	منبل
vezb	وزب
atire	عتيره
bahire	باخره
amboli	آمبولي
kelime kadrosu	كلمه قادروسي
müneffis	منفس
pazarlanmak	پازارلانمق
taç yapraklı	تاج ياپراقلي
sömbeki	سومبكي
güzel duyusal	گوزل دويوسال
mekremet-güster	مكرمتگستر
komple	قومپله
suskunlaşma	صوصقونلاشمه 
gehvare	گهواره
ibdan	ابدان
lüterci	لوترجي
yüzbaşı	يوز باشي
adem-i kifayet	عدم كفايت
intikas	انتقاص
ünsiyet	انسيت
kundaklı	قونداقلي
temnis	تمنس
rahatlatma	راحتلاتمه 
kararlaşma	قرارلاشمه 
kenarda köşede	كنارده كوشه ده
imkan-ı vehmi	امكان وهمي
toplama	طوپلامه 
melub	ملعوب
mazik	مضيق
sagire	صغيره
pullukçu	پوللقجي
garran	غران
heybe	هگبه
mütesadim	متصادم
sübat	ثبات
kalemşor	قلمشور
nefy	نفي
lapacı	لاپه جي
bala-han	بالاخوان
ruzi-har	روزيخوار
esliha	اسلحه
vitrinleme	ويترينله مه
missik	مسيك
şeci	شجيع
zirkonyum	زيرقونيوم
eminova	امين اوه
dahir	ضاهر
despotizm	دسپوتيزم
iç lastik	ايچ لاستيك
rafya	رافيه
cırnaklama	جيرناقلامه 
kullab	قلاب
lığlı	ليغلي
kesirsiz	كسرسز
mevcud	موجود
vahibe	واهبه
badıç	باديچ
muhalefet etmek	مخالفت ايتمك
kur-boğaz	كور بوغاز
titizlenme	تيتيزلنمه
behremen	بهرمن
ammuriye	عموريه
amak-ı hafa	اعماق خفا
cebhane	جبه خانه
müteferrih	متفرح
ekulane	اكولانه
düşme	دوشمه
badet-teşekkül	بعد التشكل
uygar	اويغار
suni böbrek	صنعي بوبرك
itikatsızlık	اعتقادسزلق
mürg-i ruz	مرغ روز
terfih	ترفيح
muaz ibn cebel	معاذ ابن جبل 
gövdesiz	گوگده سز
ateş-dan	آتشدان
imece	ايمه جه
renksemez	رنكسه مز
kütleşme	كوتلشمه
usm	عصم
sütbaba	سوت بابا
iğla	اغلا
mümtehine	ممتحنه
halis muhlis	خالص مخلص
şayak	شياق
ince bağırsak	اينجه باغيرصاق
istitab	استعتاب
izhanım	ايزخانم
kural dışı	قورال طيشي
nemrut	نمرود
bürd	برد
çatalca	چاتالجه
samimileşmek	صميميلشمك
ıklım tıklım	ايقليم طيقليم
hazır yiyici	حاضر ييجي
amel-i talih	عمل طالح
naki	نقي
koyultmak	قويولتمق
mağrefe	مغرفه
ecsel	اجثل
araklı	آراقلي
kar-nedaşte	كارنداشته
münsecim	منسجم
tahtel-arz	تحت الارض
rebile	ربيله
dermeyan etmek	درميان ايتمك
sintine	سينتينه
ehdab	اهداب
irtiyad	ارتياد
çiseme	چيگسه مه
giderici	گيدريجي
istıtrab	استطراب
maksızın	مقسزين
öztan	أوز طاڭ
tengi	تنگي
evend	اوند
konulmak	قونولمق
lantan	لانتان
rafettin	رأفت الدين
tıraş köpüğü	تراش كوپوگي
tesrib	تسريب
başı dumanlı	باشي دومانلي
indiriş	اينديريش
turno	طورنو
serbest	سربست
anafor	آنافور
yol yol	يول يول
usat	عصات
pijama	پيژامه
tehamuk	تحامق
katibane	كاتبانه
dam-ı bela	دام بلا
kitab-ı mübin	كتاب مبين
irad ü masraf	ايراد و مصرف
piskopos	پيسقوپوس
kavalcı	قوالجي
taklitçi	تقليدجي
ibas	ابعاث
izdivaç etmek	ازدواج ايتمك
talakat	طلاقت
faalet	فعلت
müştekiyane	مشتكيانه
ıhtirak	اختراق
çatıştırma	چاتيشديرمه 
deli gömleği	دلي گوملگي
uzanılma	اوزانيلمه 
vahama	وخاما 
makhuriyet	مقهوريت
süpürge otu	سوپورگه اوتي
idrak-i maali	ادراك معالي
teceşşu	تجشع
kem-sal	كمسال
kapalı hava	قپالي هوا
dağlanma	داغلانمه 
rastlanma	راستلانمه 
ma-bihil-itimad	ما به الاعتماد
güneş tacı	گونش تاجي
hayic	هايج
sterol	سته رول
boşandırmak	بوشانديرمق
aznavur	آزناوور
aduli	عدولي
işleyiş	ايشله ييش
müzz	مز
gericilik	گريجيلك
melak	ملاق
mahzud	محضود
zenkil	زنكيل
pay-taht	پايتخت
tahtes-sera	تحت الثرا 
içtenlikli	ايچدنلكلي
rençperlik	رنجبرلك
evhamsız	اوهامسز
toparlanma	طوپارلانمه 
nanemolla	نانه ملا
refetlü	رأفتلو
erzade	ارزاده
göktekin	گوك تكين
dahiye	ضاحيه
rıfk	رفق
konakçı	قوناقجي
ahşa	اخشا 
ağız tüfeği	آغيز تفنكي
el-hamdü lillah	الحمد للّٰه
diğerkam	ديگركام
beliyyat	بليات
tarazlanmak	طرازلانمق
yufkacı	يوفقه جي
mah-pare	ماهپاره
taaddüd-i zevcat	تعدد زوجات
maşaallah	ماشاء اللّٰه
küsiyye	كوسيه
lefif	لفيف
kırzam	قرزام
buzla	بوزله
alemci	علمجي
kartallı eğrelti otu	قارتاللي أگرلتي اوتي
kaşmerlik	قاشمرلك
rebika	ربيقه
zoru zoruna	زوري زورينه
nihavend-i cedid	نهاوند جديد
sömürgecilik	سومورگه جيلك
tehalük etmek	تهالك ايتمك
münhatt	منحط
künan	كنان
tevkit	توقيت
hiperbol	هيپربول
micdah	مجدح
meftun olmak	مفتون اولمق
efsunlama	افسونلامه 
makulat	معقولات
lıkır	ليقير
itlal	اتلال
kirizmalama	كيريزمه لامه 
rabtiye	ربطيه
satu kala	صاتو قلعه
simgesel mantık	سيمگه سل منطق
ekasim	اقاسيم
sallapati	صاللا پاتي
elektrik üreteci	الكتريك أورتجي
mukaddime	مقدمه
anılmak	آڭيلمق
patent	پاتنت
isteklendirici	ايستكلنديريجي
sultan kethüdası	سلطان كتخداسي
kerrus	كروس
huşe	خوشه
açıortay	آچي اورتاي
tişe	تيشه
beç tavuğu	بج طاووغي
nüda	ندا 
yüreğir	يورگير
işgüder	ايش گودر
namzed	نامزد
şantung	شانطونغ
cud u kerem	جود و كرم
eribe	اريبه
zabazıb	ظباظب
ma-bihil-hayat	ما به الحيات
taire	طائره
muktataf	مقتطف
terfik etmek	ترفيق ايتمك
nurefşan	نور أفشان
uzun uzadıya	اوزون اوزادي يه
jun	ژون
idris otu	ادريس اوتي
sayrıl	صايريل
bayramiye	بايراميه
islal	اسلال
kemer-bend	كمربند
sihirlenmek	سحرلنمك
planlanış	پلانلانيش
muhafaza etmek	محافظه ايتمك
müjde	مژده
geyik dikeni	گييك ديكني
iğnecilik	ايگنه جيلك
kahvaltılık	قهوه آلتيلق
amme	آمه
teferru	تفرع
kuyudat-ı atika	قيودات عتيقه
memduha	ممدوحه
tahasür	تخاصر
münağğasan	منغصًا
takılış	طاقيليش
yedek parçacılık	يدك پارچه جيلق
amber ağacı	عنبر آغاجي
otuzar	اوتوزر
berrah	براح
merkezcil	مركزجيل
üre	أوره
mukannibe	مقنبه
mütemevvic	متموج
kıtırdatma	قيتيرداتمه 
lüban	لبان
küfye	كفيه
zağlanma	زاغلانمه 
kayık	قاييق
mülazik	ملاذق
tekebbür	تكبر
meşun	مشعون
çaresizlik	چاره سزلك
kepek	كپك
iş bırakımcı	ايش بيراقيمجي
belcik	بلجك
birunane	بيرونانه
teferun	تفرعن
erokay	ار اوقاي
milli marş	ملي مارش
süfün	سفن
ahkar	احقر
kulal	قلال
temdin	تمدين
zevk-i selim	ذوق سليم
yer zarfı	ير ظرفي
nizamiye	نظاميه
dönüştürmek	دونوشديرمك
gözen	گوزن
duhne	دخنه
meşahir	مشاهير
mergame	مرغمه
bayrama	بايرامه
tehevvüs	تهوس
kapış	قاپيش
devleştirmek	ديولشديرمك
şafak-alud	شفق آلود
mahrutiyet	مخروطيت
geçit resmi	گچيت رسمي
tebakkur	تبقر
haste-gan	خستگان
gahi	گاهي
resne	رسنه
nursema	نور سما
müekkid	مؤكد
muhtetıb	محتطب
fıdda	فضه
gaz ölçümü	غاز أولچومي
azimüş-şan	عظيم الشان
enfüs	انفس
fuzaz	فضاض
kamburlaştırma	قنبورلاشديرمه 
mahurek	ماهورك
kürnüb	كرنب
suç üstü yakalama	صوچ أوستي ياقه لامه
bahadırane	بهادرانه
pespembe	پس پنبه
pişe-ger	پيشه گر
mercimekli köfte	مرجمكلي كوفته
tavh	طوح
ebib	ابيب
müdabe	مدعبه
mağmumane	مغمومانه
şaz	شاذ
tasaub	تصعب
yiyim	يييم
gevher-i pend	گوهر پند
karpuzlu	قارپوزلي
dünya evi	دنيا أوي
dar kafalı	طار قفالي
avareleşmek	آواره لشمك
tehevvük	تهوك
ramak kalmak	رمق قالمق
toplantı	طوپلانتي
egarr	اغر
onikiparmak bağırsağı	اون ايكي پارماق باغيرصاغي
yasalaştırılmak	ياسالاشديريلمق
erkan	ارقان
nirengi	نيرنگي
mermare	مرماره
tenassuk	تنسق
ortakyaşar	اورتاق ياشار
takfil	تقفيل
sine	سينه
celail	جلائل
kavkah	قوقاه
behlel	بهلل
fatiha suresi	فاتحه سوره سي
mukazzez	مقذذ
izam	اعظام
bevahe	بواهه
bozkurt	بوزقورت
üçüncül	أوچنجول
pa-derhava	پادرهوا
mürekkib	مركب
tekmelenmek	تكمه لنمك
cin	جن
dönme dolap	دونمه طولاپ
münadim	منعدم
leyail	ليائل
ziraatçılık	زراعتجيلق
galat-ı basar	غلط بصر
elveda	الوداع
duvar sedefi	ديوار صدفي
tekessür etmek	تكثر ايتمك
çi-gune	چگونه
süpürülme	سوپورولمه
ihtican	احتجان
taff	طف
babailik	بابائيلك
boy beyi	بوي بگي
feramin	فرامين
burgata	بورغاته
hacereyn	حجرين
tekerru	تكرع
kıyafetli	قيافتلي
maız	ماعز
musas	مصاص
fagot	فاغوت
cihan-penah	جهانپناه
günsüler	گونسيلر
tekdirat	تكديرات
hantem	حنتم
adama	آدامه 
teerrüb	تأرب
gümrahlık	گمراهلق
tarik	تاريك
çayır peyniri	چايير پينيري
fotokinezi	فوطو كينه زي
kabile-i huzail	قبيلۀ خزاعل
enasi	اناسي
revan-bahş	روانبخش
kırn	قرن
çiçek sapı	چيچك صاپي
takannu	تقنع
müddessir suresi	مدثر سوره سي
saklanmak	صاقلانمق
sevh	سوح
azade-gan	آزادگان
isaet	اسائت
cübeyr	جبير
kurbağalar	قورباغه لر
fekahe	فكاهه
hizfer	خذفر
ihtirab	احتراب
zabtıye nazırı	ضبطيه ناظري
kuyu bileziği	قويو بيله زيگي
harf-i nevai	حرف نوائي
gagalama	غاغه لامه 
açık seçik	آچيق سچيك
fahire	فاخره
na-reşid	نارشيد
bil-istiklal	بالاستقلال
sin	صين
zihniyat	ذهنيات
katım	قاتيم
çirkefleşme	چركفلشمه
ühbe	اهبه
soğan	صوغان
tavk	طوق
girih-güşa	گرهگشا
ishal	اسهال
ebzer	ابظر
benzin istasyonu	بنزين ايستاسيوني
bağıtlaşma	باغيتلاشمه 
sana	صنعا
guref	غرف
ekspres	اكسپرس
sili	سيلي
hazıkıyet	حاذقيت
dönmek	دونمك
kaybedilmek	غائب ايديلمك
kaçırtmak	قاچيرتمق
sersem olmak	سرسم اولمق
cağız	جغز
mahall-i sadaka	محال صدقه
feza-yı ıtlak	فضاي اطلاق
kona göçe	قونا گوچه
taktaka	طقطقه
ithaf-name	اتحافنامه
vasıfa	واصفه
raşya	راشيا
kutlanmak	قوتلانمق
terakümat	تراكمات
tahannüf	تحنف
hicab-ı ebr	حجاب ابر
havamis	خوامس
telli	تللي
kazıtma	قازيتمه 
sırtüstü	صيرت أوستي
yanlı	يانلي
çınsabah	چين صباح
müsaafe	مساعفه
mütenakir	متناكر
kelebek gözlük	كله بك گوزلك
keler balığı	كلر باليغي
karşı düşürüm	قارشي دوشوروم
pasdari	پاسداري
ecehan	اجه خان
yakıştırma	ياقيشديرمه 
leyal-i hasret	ليال حسرت
şakk	شاق
muhazzilane	مخذلانه
cumburdama	جومبوردامه 
necid-i şarki	نجد شرقي
adalat	عضلات
tahyir	تخيير
elem-i dem-be-dem	الم دمبدم
düşkünleşmek	دوشكونلشمك
beyad	بياد
fıkari	فقري
mütelasimane	متلعثمانه
yüzgeç	يوزگچ
kapalı tribün	قپالي تريبون
burani	بوراني
hevek	هوك
selatin	سلاطين
hıfz-ı hukuk	حفظ حقوق
nebaleshev	نبالسخو
yavaşlamak	ياواشلامق
ıklama	ايقلامه 
geçgeçlemek	گچ گچله مك
mihveka	محوقه
raşe-dar	رعشه دار
hun-ab	خون آب
na-refte	نارفته
müdrec	مدرج
lefc	لفج
cezmen	جزمًا
gümrüklenmek	گومروكلنمك
kırpıştırmak	قيرپيشديرمق
teşeffi-i gayz	تشفئ غيظ
paleograf	پاله ئوغراف
zeynelabidin	زين العابدين 
manyok	مانيوق
artırılma	آرتيريلمه 
urf	عرف
yarı	ياري
kavişger	كاوشگر
mübezzir	مبزر
name-i hicran	نامۀ هجران
kilitli	كليدلي
nasbül-ayn	نصب العين
ateş-fam	آتشفام
askale	عسقله
dürümlemek	دورومله مك
ağırşaklanma	آغيرشاقلانمه 
muğlakiyet	مغلقيت
ehl-i kubur	اهل قبور
meyve ezmesi	ميوه ازمه سي
yerli malı	يرلي مالي
jeosenklinal	ژئوسنكلينال
topla	طوپله
kısra	قصرا 
neşit	نشيط
huri	حوري
bi-güman	بي گمان
rükudet	ركودت
konfederasyon	قون فده راسيون
özel hayat	أوزل حيات
ab-zen	آبزن
melc	ملج
hizbüş-şeytan	حزب الشيطان
istihraç etmek	استخراج ايتمك
cacere	جعجره
lulu	لعلع
yamalamak	يامه لامق
askerlik etmek	عسكرلك ايتمك
henien	هنيئاً
savla	صاوله
dinozorlar	دينوزورلر
damat adayı	داماد آدايي
vukufsuzluk	وقوفسزلق
değişkin	دگيشكين
kahir	قاهر
keskinleşme	كسكينلشمه
yer fesleğeni	ير فسله گني
zefir	زفير
kise	كيسه
tafthane	تافتخانه
müşhıs	مشخص
oburluk	اوبورلق
edyan-ı batıla	اديان باطله
muaşşir	معشر
ziftleme	زفتله مه
uvz	عوذ
voşetran	وشتران
şiddetlenmek	شدتلنمك
ıtla	اطلاع
mazrac	مضرج
gönderiliş	گوندريليش
muktef	مقتف
ahar	آخر
tefennün fil-ibare	تفنن في العباره
cümle-i muterize	جملۀ معترضه
kütüb-i sitte	كتب سته
riyala	رياله
yarıcılık	ياريجيلق
hevte	هوته
cali	جالع
vites	ويتس
şüphelendirmek	شبهه لنديرمك
münüh	منه
taytan	طيطان
tesahubat	تصاحبات
fütursuzca	فتورسزجه
akise	عاكسه
namibyalı	ناميبيه لي
pavli	پاولي
tescil	تسجيل
toslama	طوسلامه 
hasm-ı ekber	خصم اكبر
efsürde-gan	افسردگان
deveboynu	دوه بويني
babayani	باباياني
mazruf	مظروف
mendeburluk	مندبورلق
kelime-i şehadet	كلمۀ شهادت
yayık	ياييق
teati-i efkar	تعاطئ افكار
denizhan	دڭزخان
bahiye	باهيه
müteşabik	متشابك
başucu uzaklığı	باش اوجي اوزاقلغي
sedef otu	صدف اوتي
tesniye	تثنيه
bi-çare	بي چاره
karalı beyazlı	قره لي بياضلي
ihdaiye	اهدائيه
teşeyyüb	تشيب
ses yönetmeni	سس يوڭتمني
ebu züra	ابو ذرعه
gevgili	گوگيلي
triptik	تريپتيك
zemil	ذميل
misilli	مثللي
temelluk	تملق
selahiyet	صلاحيت
terceme-i hal	ترجمۀ حال
kolaylıkla	قولايلقله
arife	عرفه
meylen	ميلاً
kıllet	قلت
hazarat	حضرات
poliklinik	پولي قلينيك
akis	عاكس
savm-ı davudi	صوم داودي
ebediyen	ابديًا
yanık rüzgar	يانيق روزگار
muğfil	مغفل
hacc etmek	حج ايتمك
ötede beride	أوته ده بريده
çupra	چوپره
mekteb-i ulum-i harbiye	مكتب علوم حربيه
lamel	لامل
metuh	متوح
meges-gir	مگسگير
mesele-i nas	مسئلۀ ناس
haste	خاسته
basil	باسل
decce	دجه
muharrece	محرجه
atak	عتاق
mamervan	مامروان
telatum	تلاطم
tezahür	تظاهر
yavaşlatılmak	ياواشلاتيلمق
geveşt-hüseyni	گوشت حسيني
zamir	زامر
nefs-i ihbar	نفس اخبار
kunaytara	قنيطره
tahris	تحريص
yazı kurulu	يازي قورولي
duş-a-duş	دوشادوش
trampetçilik	ترامپتجيلك
intişa	انتشا
naz-perdari	ناز پرداري
tıkırdamak	طيقيردامق
peyleme	پيله مه
decl	دجل
dima	دماع
ıtlak-ı lisan	اطلاق لسان
meşakk-ı hayat	مشاق حيات
ityan	اتيان
süre	سوره
şilt	شيلت
tecdit	تجديد
dudak tiryakisi	طوداق ترياكيسي
yemliha	يمليخا
nev-şüküfte	نوشكفته
sahra-yı kebir	صحراي كبير
zerdüşti	زردشتي
gavali	غوالي
yetkinleşme	يتكينلشمه
dereke	دركه
aslanlık	آسلانلق
bezze	بذه
mutekifin	معتكفين
feşak	فشق
cebelün-nur	جبل النور
yataklı vagon	ياتاقلي واغون
çetinel	چتين أل
telh-kam	تلخكام
musaff	مصف
pirzola	پيرزوله
bedensel	بدنسل
tema	تمه
heyecanlanmak	هيجانلانمق
dahiliyeci	داخليه جي
harbiyeli	حربيه لي
hayyiz	حيز
müteferris	متفرس
zeyreklik	زيركلك
nefh	نفح
fürkat	فرقت
göğüs göğüse	گوگوس گوگوسه
tahdik	تحديق
müterazim	مترازم
mütecavil	متجاول
yağlı ip	ياغلي ايپ
amorti	آمورتي
asalaklaşmak	آصالاقلاشمق
zeber	زبر
polyester	پوليستر
ulantı	اولانتي
rusde	رصده
etek dolusu	اتك طولوسي
ırama	ايرامه 
tahtib	تحطيب
yalın hal	يالين حال
mübalat	مبالات
ikilik	ايكيلك
kortej	قورتژ
lığ	ليغ
termik	ترميك
hayat tecrübesi	حيات تجربه سي
nazbaliş	نازبالش
esas	اساس
raum	رعوم
bulandırılmak	بولانديريلمق
mütesafih	متصافح
namusiye	ناموسيه
enza	انزع
serpeleme	سرپه له مه
usus	عصعص
beyyine suresi	بينه سوره سي
mehrecan	مهرجان
beni ümeyye	بني اميه
kanlanma	قانلانمه 
lekz	لكز
fecve	فجوه
çalapöver	چالاپ أوگر
elfirak	الفراق
medid	مديد
melulane	ملولانه
atebat	عتبات
cabbar	جبار
fürre	فره
ensa	انسا
gümaşte	گماشته
genel kurul	گنل قورول
davet	دعوت
ıraklık	ايراقلق
zarifane	ظريفانه
hamam böceğigiller	حمام بوجگيگيللر
tıfliyet	طفليت
amfi	آمفي
belgegeçer	بلگه كچر
baldırak	بالديراق
düzleşme	دوزلشمه
hukuk-ı ibad	حقوق عباد
uzatış	اوزاتيش
reda	رداع
mefruğun bih	مفروغٌ به
harc-ı rah	خرج راه
ditiramp	ديتيرامپ
hale-dar	هاله دار
na-reva	ناروا
sevakin	سواكن
zennelik	زنه لك
üştür-gav	اشترگاو
cey	جأي
yeten	يتن
proteinli	پروته ئينلي
küllü	كوللي
baba ocağı	بابا اوجاغي
ödeniş	أودنيش
kadril	قادريل
kaffeten	كافةً
lakaydane	لاقيدانه
zahk	ذحق
tetbi	تتبيع
ekstrasistol	اكسطره سيستول
mütecavir	متجاور
yuhanna	يوحنا
duyuüstü	دويو أوستي
dil-asude	دل آسوده
banka cüzdanı	بانقه جزداني
havalandırmak	هوالانديرمق
sühuh	سحوح
neml suresi	نمل سوره سي
hırka-i şerif	خرقۀ شريف
subahi	صباحي
vıcıklık	ويجيقلق
takdis etmek	تقديس ايتمك
girit madalyası	گريد ماداليه سي
zerzere	زرزره
çaylak fırtınası	چايلاق فيرطينه سي
irtifas	ارتفاص
milli güvenlik	ملي گوگنلك
taraf-dar	طرفدار
davetiye	دعوتيه
hüdhüd	هدهد
şesus	شصوص
emr-i istihbabi	امر استحبابي
muayene olmak	معاينه اولمق
söküm	سوكوم
bitirilmek	بيتيريلمك
nebean	نبعان
munika	مونقه
yer mantarı	ير مانطاري
demirleme	دميرله مه
seven	سون
adaşlık	آداشلق
tazyik	تضييق
arıkan	آري قان
buteyme	بطيمه
uyuşukluk	اويوشوقلق
ümmül-kura	ام القرا 
ısaret	اصارت
silahlı	سلاحلي
geçe	گچه
havzeri	حوزري
sevabik	سوابق
löpür löpür	لوپور لوپور
hüffel	هفل
debar	دبار
mütesallika	متسلقه
mahak	محاق
melaha	ملاخه
ağda yapmak	آغده ياپمق
kurevi	قروي
na-murad	نامراد
zaruriyat-ı diniye	ضروريات دينيه
salcan	صالجان
ruhsal	روحسال
belaya	بلايا
dayanıksız	طايانيقسز
beyzah	بيذخ
tecvit	تجويد
tekid-i manevi	تأكيد معنوي
züll-i teslim	ذل تسليم
üleştirme	أولشديرمه
bare	باره
çıtlık	چيتلق
mütefeyyiz	متفيض
gibisinden	گبيسندن
günülemek	گونوله مك
hoşkam	خوشكام
biat	بيعت
inceletmek	اينجه لتمك
mayıh	مايح
ketal	كتال
hıfzıssıhha	حفظ الصحه
muhabbet etmek	محبت ايتمك
üstübeç	أوستوبچ
